Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225410218,3,"$100,001 - $150,000",30.5,2,0,2,2,0,2,,,like Edy's and Turkey Hill
225451172,3,"$75,001 -  $100,000",30.5,2,2,3,1,2,0,"Vanilla, chocolate, cookies and cream, seasonal variations",,I love the Edy's and prefer it over the Wows low fat
225451243,3,Prefer not to say,40.5,4,2,1,0,3,2,chocolate...all varieties,Lowest price at that shopping trip,
225451268,,"$50,000 - $75,000",50.5,1,0,0,3,1,2,,,
225451272,3,Prefer not to say,50.5,3,1,2,0,3,1,"vanilla, chocolate, cookie dough, mint chocolate chip, strawberry",Price,
225451278,,"Under $50,000",70.5,1,0,0,2,1,3,,,
225451289,3,"$100,001 - $150,000",40.5,2,2,2,2,2,0,vanilla & chocolate,On sale,
225451325,3,"Under $50,000",50.5,1,0,2,0,1,3,Chocolate/peanut butter swirl; Moose Tracks,,Can't really say for sure.
225451338,1,"$150,001 - $200,000",60.5,2,0,3,2,1,0,,,it'd melt on the way home
225451370,3,"$50,000 - $75,000",50.5,1,0,3,0,1,2,chocolate chip cookie dough,,"rarely buy ice cream at Wow's as it's far away and i'm usually not going right home.  when i did buy, it was tregular ice cream. i might buy low fat if i can."
225451383,3,"$100,001 - $150,000",40.5,3,0,3,1,2,0,"Rocky Road, Mint Chocolate Chip, Mexican Chocolate. ",,Not convenient
225451387,3,"$50,000 - $75,000",30.5,2,1,3,0,1,2,"Rocky Road, Cookies & Cream, Cookie Dough, Heavenly Hash, Toffee, and Apple Pie","Wegmans is a brand I trust, and I knew that Low Fat is not only healthier, but trusted it would still be delicious",
225451406,,"$75,001 -  $100,000",50.5,1,1,0,3,1,2,,,
225451428,3,Prefer not to say,40.5,3,1,0,2,1,3,"My husband likes coffee, mocha, peach. My daughter likes vanilla bean, French vanilla, chocolate chip cookie dough. I generally prefer vanilla bean and sorbets, especially passion fruit, lemon, blood orange.",,i don't know.
225451445,4,"$150,001 - $200,000",50.5,2,1,1,2,0,3,"Chocolate, cookies n cream, butter pecan, vanilla fudge.  ",,Didn't know it existed.
225451503,,"Under $50,000",70.5,2,0,0,2,1,3,,,
225451504,3,"$50,000 - $75,000",60.5,4,1,1,0,2,3,all of them my varied family member will eat anything.  A really good rich vanilla is the most important becase that goes with everything.,,Wow's is not close to home so at this time of year when we eat ice cream more it melts a bit before we get home and then gets icy
225451508,4,"Under $50,000",30.5,1,0,2,0,3,1,"Chocolate chip cookie dough!!!!, cinnamon, vanilla bean, cake flavored",,They don't have the flavors I want.
225451512,4,"$150,001 - $200,000",40.5,4,2,3,0,2,1,"Vanilla, Chocolate, Straw, chocolate chip",price and taste,
225451536,,"$50,000 - $75,000",30.5,2,2,0,2,1,3,,,
225451575,,"$50,000 - $75,000",50.5,2,0,0,1,2,3,,,
225451583,,"$50,000 - $75,000",50.5,1,1,0,1,3,2,,,
225451587,3,Prefer not to say,50.5,2,1,1,0,2,3,"Creme Brulee, Mango ",To try the different flavors.,
225451593,3,"$50,000 - $75,000",30.5,3,1,2,1,3,0,Chocolate,on sale,
225451598,3,"$75,001 -  $100,000",40.5,2,2,0,1,3,2,cinnamon,,Have not so far
225451603,3,"$100,001 - $150,000",40.5,2,2,1,2,3,0,"Cherry, Rocky Road, Butter Pecan",,Didn't need it when shopping there...already in the freezer.
225451619,1,"$75,001 -  $100,000",80.5,2,0,3,2,1,0,,Because it had lower fat content.,
225451638,,"$100,001 - $150,000",30.5,3,0,0,2,3,1,,,
225451657,3,"Over $200,000",50.5,4,1,1,3,1,1,"Vanilla with chocolate chips, but good chips, not specks (like Lee's ice cream-  ugh!)",,Not sure how it compares to national brand such as Edy's
225451677,2,"$100,001 - $150,000",30.5,2,0,2,0,1,3,,yummy and healthier,
225451710,3,"$75,001 -  $100,000",60.5,2,0,0,1,2,3,"coffee, anything with nuts",,like wegmans regular ice cream
225451712,4,"$75,001 -  $100,000",50.5,3,1,0,3,1,2,ALL,ITS GOOD,
225451715,,"$50,000 - $75,000",60.5,1,0,0,0,0,0,,,
225451717,3,"$75,001 -  $100,000",40.5,3,1,0,2,3,1,"Vanilla with any of the following additions to it: peanut butter, chocolate chips, brownies, fudge, nuts, caramel.",,Didn't know you had a low fat.
225451721,,"$50,000 - $75,000",60.5,1,0,0,0,0,0,,,
225451728,3,"$75,001 -  $100,000",40.5,2,2,1,0,2,3,Strawberry and vanilla,We wanted to try it.,
225451740,,"$50,000 - $75,000",50.5,3,2,0,2,1,3,,,
225451746,,Prefer not to say,30.5,3,0,0,3,2,1,,,
225451759,2,Prefer not to say,50.5,4,0,3,1,0,2,,"Low fat, quality brand, & good price ",
225451764,2,"$100,001 - $150,000",30.5,2,1,3,0,1,2,,"on sale, very good",
